Lokalita;Monitorovací objekt;Umiestnenie chráničky;Stav objektu;Typ snímača;x (S-JTSK);y (S-JTSK);z pažnice (BpV);Dátum kontroly
Kapušany;KAP-KU-1;bez chráničky;nový;InSAR;1202945.726;256199.171;307,88;20.02.2020
Kapušany;KAP-KU-2;bez chráničky;nový;InSAR;1203038.653;256070.706;289,97;20.02.2020
Kapušany;KAP-KU-3;bez chráničky;nový;InSAR;1203451.77;255732.332;265,73;20.02.2020
Nižná Myšľa;NMY-KU-1;bez chráničky;nový;InSAR;1250247.453;255235.461;200,47;20.02.2020
Nižná Myšľa;NMY-KU-2;bez chráničky;nový;InSAR;1250718.07;255338.687;217,32;20.02.2020
Nižná Myšľa;NMY-KU-3;bez chráničky;nový;InSAR;1251000.032;255444.341;206,74;20.02.2020
Nižná Myšľa;NMY-KU-4;bez chráničky;nový;InSAR;1251484.244;255592.25;178,49;20.02.2020
Prešov-Horárska;POH-KU-1;bez chráničky;nový;InSAR;1210676.136;263912.72;327,17;20.02.2020
Prešov-Horárska;POH-KU-2;bez chráničky;nový;InSAR;1210577.112;263958.878;325,07;20.02.2020
Prešov-Pod Wilec hôrkou;POW-KU-1;bez chráničky;nový;InSAR;1211078.831;262721.154;253,07;20.02.2020
Prešov-Pod Wilec hôrkou;POW-KU-2;bez chráničky;nový;InSAR;1211446.459;262696.187;281,31;20.02.2020
Prešov-Pod Wilec hôrkou;POW-KU-3;bez chráničky;nový;InSAR;1211198.404;262610.814;242,94;20.02.2020
Prievidza-Hradec;HRD-KU-1;bez chráničky;nový;InSAR;1222984.27;451109.087;473,54;19.02.2020
Prievidza-Hradec;HRD-KU-2;bez chráničky;nový;InSAR;1223077.577;451743.7;442,78;19.02.2020
Prievidza-Hradec;HRD-KU-3;bez chráničky;nový;InSAR;1222785.498;451410.105;442,74;19.02.2020
Prievidza-Veľká Lehôtka;LHE-KU-1;bez chráničky;nový;InSAR;1223416.155;452370.616;417,87;19.02.2020
Prievidza-Veľká Lehôtka;LHE-KU-2;bez chráničky;nový;InSAR;1223791.905;452243.348;431,59;19.02.2020
Prievidza-Veľká Lehôtka;LHE-KU-3;bez chráničky;nový;InSAR;1224087;452355;449,84;
Prievidza-Veľká Lehôtka;LHE-KU-4;bez chráničky;nový;InSAR;1222223.951;453822.139;302,9;19.02.2023
Ruská Nová Ves;RNV-KU-1;bez chráničky;nový;InSAR;1210796.204;255663.504;477,04;21.02.2020
Ruská Nová Ves;RNV-KU-2;bez chráničky;nový;InSAR;1210956.819;255462.619;504,95;21.02.2020
Ruská Nová Ves;RNV-KU-3;bez chráničky;nový;InSAR;1210768.497;256078.999;441,65;21.02.2020
Ruská Nová Ves;RNV-KU-4;bez chráničky;nový;InSAR;1210890.087;256753.687;424,74;21.02.2020
Vyšná Hutka;VHA-KU-1;bez chráničky;nový;InSAR;1244530.213;255303.725;248,49;20.02.2020
Vyšná Hutka;VHA-KU-2;bez chráničky;nový;InSAR;1244658.027;256150.41;190,6;20.02.2020
